date,Harassment,Harassment (Average)
2017/03/06,159902.323805,168594.3307
2017/03/07,164003.046271,168594.3307
2017/03/08,187049.153306,168594.3307
2017/03/09,182690.381005,168594.3307
2017/03/10,160828.785598,168594.3307
2017/03/11,153605.43114,168594.3307
2017/03/12,198084.39134,168594.3307
2017/03/13,192760.236835,168594.3307
2017/03/14,175578.247269,168594.3307
2017/03/15,170172.311292,168594.3307
2017/03/16,188452.232712,168594.3307
2017/03/17,199210.948307,168594.3307
2017/03/18,245067.746924,168594.3307
2017/03/19,256426.026703,168594.3307
2017/03/20,225097.294732,168594.3307
2017/03/21,200059.871135,168594.3307
2017/03/22,176378.949916,168594.3307
2017/03/23,136903.00542,168594.3307
2017/03/24,145991.728716,168594.3307
2017/03/25,127821.66596,168594.3307
2017/03/26,94997.4004968,168594.3307
2017/03/27,130701.26045,168594.3307
2017/03/28,128467.248936,168594.3307
2017/03/29,120751.304861,168594.3307
2017/03/30,154264.523416,168594.3307
2017/03/31,158851.171272,168594.3307
2017/04/01,154563.654882,168594.3307
2017/04/02,166093.274256,168594.3307
2017/04/03,156860.509931,168594.3307
2017/04/04,132814.424805,168594.3307
2017/04/05,153008.814323,168594.3307
2017/04/06,215929.40683,168594.3307
2017/04/07,128057.334262,168594.3307
2017/04/08,159424.123144,168594.3307
2017/04/09,160284.55838,168594.3307
2017/04/10,167406.748725,168594.3307
2017/04/11,144670.497002,168594.3307
2017/04/12,141581.009197,168594.3307
2017/04/13,190334.86111,168594.3307
2017/04/14,178379.8266,168594.3307
2017/04/15,197531.448077,168594.3307
2017/04/16,199904.710046,168594.3307
